title,description,Floor,Use,Space Type,Rent/SF/yr,Suite Notes,Build Out,Condition,Occupancy,Listing Contact,Term,Suite,Type,Submarket,City,St,County,Company Description,Location Description,Co-Working,,Private Office,,Team Room,,Conference Room,,Entire Floor / Space
Atria Bevmax,299 Broadway,P 8,Off/Med,Sublet,Withheld,Office A: 102 sf | Aski…,,,Arranged,Julia Tisdal (646) 568-3175 ,Negotiable,,Office,City Hall,New York,NY,Manhattan,"<p><strong>Bevmax Office Centers</strong></p>
<p>Founded in 2001, Bevmax Office Centers offer corporate  office spaces in New York City. The company has over 150,000 rentable square  feet of space available at various locations. Tenants have the flexibility to  choose between office spaces in Tribeca, Soho, the Upper West Side and more.  For over 12 years, Bevmax has offered fully furnished and wired offices as well  as full secretarial services. These features allow tenants to move in easily  and concentrate on their business today.</p>","<p><u>299 Broadway</u></p>
<p>8th floor office A  suite 820 situated between Duane and Reade street in the Tribeca neighborhood.  Just steps from Starbucks and a FedEx Office Print &amp; Ship center, Office A  is within walking distance of a variety of business necessities. With 102  square feet, this small office space is perfect for quiet occupations such as  therapists, nutritionists, writers, etc. Commuting to the space is practical and  convenient as it is accessible via the 1, 2, 3, 4, 5, 6, A, C, F, N, R, J, Z  subway lines. The building is open for access 24/7, which allows tenants to  work work according to their own schedules. Daily cleaning service as well as  having an on-site doorman during specified hours provides a sense of homeliness  and peace of mind for tenants.</p>
<p><strong>Space Features</strong></p>
<ul>
  <li>24/7  building access</li>
  <li>doorman  on site</li>
  <li>accessible  via the 1, 2, 3, 4, 5, 6, A, C, F, N, R, J, Z subway lines</li>
  <li>102  square feet</li>
  <li>daily  cleaning</li>
  <li>Wifi and  taxes included in rent</li>
</ul>",,,,,,,,,
Bevmax Office Centers,485 Madison Ave,P 7,Office,Sublet,Withheld,- Midtown/plaza distric…,,,Arranged,Rick Feld (212) 989-8900 ,Negotiable,,Office,Plaza District,New York,NY,Manhattan,"<p><strong>Bevmax Office Centers</strong></p>
<p>Founded in 2001, Bevmax Office Centers offer corporate  office spaces in New York City. The company has over 150,000 rentable square  feet of space available at various locations. Tenants have the flexibility to  choose between office spaces in Tribeca, Soho, the Upper West Side and more.  For over 12 years, Bevmax has offered fully furnished and wired offices as well  as full secretarial services. These features allow tenants to move in easily  and concentrate on their business today.</p>","<p><u>485 Madison Avenue</u></p>
<p>The Plaza District office space at 485 Madison Avenue is  situated between E 51st and 52nd street. Just steps from  Chipotle Mexican Grill and Fig &amp; Olive, the Plaza District office space is  within walking distance of a variety of eateries and shops. Private offices  allow staff to work efficiently on their own time and better concentrate on the  task at hand. Offering conference rooms and a reception area, tenants also have  the flexibility to collaborate with others, as well as, take some personal time  to clear the mind. Commuting to the space is convenient as is it accessible via  the B, D, E, F, M, 6 subway lines and it is just minutes from Grand Central  Terminal. Secure 24/7 access to the building gives tenants full control and the  ability to plan their work schedules around their own time.</p>
<p><strong>Space Features</strong></p>
<ul>
  <li>Conference rooms and reception area</li>
  <li>Daily office cleaning</li>
  <li>Secure 24/7 access</li>
  <li>Private offices</li>
  <li>Accessible via the B, D, E, F, M, 6 subway lines</li>
</ul>",,,,,,,,,
Bevmax Office Centers,880 Third Ave,P 9,Office,Sublet,Withheld,Fully-furnished private…,Full Build-Out,,Arranged,Rick Feld (212) 989-8900 ,Negotiable,,Office,Plaza District,New York,NY,Manhattan,"<p><strong>Bevmax Office Centers</strong></p>
<p>Founded in 2001, Bevmax Office Centers offer corporate  office spaces in New York City. The company has over 150,000 rentable square  feet of space available at various locations. Tenants have the flexibility to  choose between office spaces in Tribeca, Soho, the Upper West Side and more.  For over 12 years, Bevmax has offered fully furnished and wired offices as well  as full secretarial services. These features allow tenants to move in easily  and concentrate on their business today.</p>","<p><u>880 Third Avenue</u></p>
<p>The 880 third avenue office space is situated between E 53rd  &amp; E 54th on &nbsp;3rd  avenue in Midtown Manhattan. Located near a 24 Hour Fitness center and Dunkin&rsquo;  Donuts, the Midtown Manhattan office space is within walking distance of a  number of business necessities. Given the choice of private office spaces,  co-working office spaces, and temporary office rentals, tenants have the  ability to customize their experience so that their needs are best met. Access  to conference rooms gives tenants the freedom to brainstorm with staff and also  interact with members of other companies. Easy 24/7 access via the E, V, 6  subway lines as well as being a short walk from Grand Central Terminal makes it  practical for tenants to commute to and from the space.</p>
<p><strong>Space Features</strong></p>
<ul>
  <li>Secure 24/7 access</li>
  <li>Private, co-working/shared, or temporary rental  office spaces</li>
  <li>Accessible via the E, V, 6 subway lines</li>
  <li>Daily office cleaning</li>
  <li>Conference rooms and reception area</li>
</ul>",,,,,,,,,
Blender Workspace,135 Madison Ave,P 8,Office,Sublet,Withheld,Photos and Video Tour:…,Full Build-Out,Trophy,30 Days,Scott Sassoon (212) 994-0230 ,Negotiable,,Office,Murray Hill,New York,NY,Manhattan,"<p><strong>Blender Workspaces </strong></p>
<p>Blender Workspace is a luxury workspace firm located on Madison Avenue in NoMad, New York
City. Launched in 2017, Blender Workspaces focuses on individuals and professionals seeking an
elevated work experience. As a startup company, Blender Workspaces specialize in clients who
want exquisite and high-end shared offices, coworking, executive suites, and luxury hospitality.
Even though a new entrant into the shared-office industry, Blender Workspace has worked with
tenants such as Amazon, UNIQLO, Samsung, Johnson & Johnson, Google, and Netflix. Blender
has taken control the 8th floor of 135 Madison Avenue, this 217,648 square feet, 12 story
building that offers tenants luxury office space and amenities.
</p>","<p><u>135 Madison Avenue</u> </p>
<p>Just north of Madison Square Park on the corner of 31st and Madison Ave, near the iconic
Flatiron Building, Blender Workspace is conveniently located to some of the best the city has to
offer. This center offers private office spaces, dedicated desks, and temporary office spaces. The
8th floor contains a total of 15,000 sqft of workspace. This center consists of 35 private office
suites, 35 dedicated open desks, 3 meeting/conference rooms, 3,000 sqft cafe & event space, 6
lounges, 1 hospitality bar, and 4 privacy booths.
Blender is a sophisticated workspace that differs from their competitors and will help take your
business to the next level. This building is a fabulous commercial space for tenants who want a
more luxurious workspace. <br>
<br>
This mature professional space caters to creative start up companies,
entrepreneurs, tech companies and financial companies.
These luxurious office spaces come fully furnished with 4-window exposures and lofty ceilings
that fill the room with natural light and positive energy to help the tenant/client focus on their
work. The dedicated desks are great for creative entrepreneurs and professionals that want a
place where they can call home. <br>
<br>
The workspaces come with custom, rich mahogany desks with
views of Madison Avenue. They also offer 4 private phone booths for those who prefer privacy
and want to work in peace. These private offices come with a custom steel and glass partitioned
offices, so that you can have privacy but still retain the feeling of a shared community. The
private office suite accommodates 2-20 person teams. Larger team rooms are available. These
private offices come with costumed designed furnished offices, solid hardwood workstations and
ergonomic chairs. <br>
<br>
These spaces are designed as a contemporary style workforce with dark brown
mahogany desks and modern/ergonomic chairs that are both pleasing and comfortable.
They also include meeting rooms that feature LED TVs equipped with Creston AirMedia and
ClearOne video conferencing. Blender Workspace also offers sound-proofed privacy booths with
USB ports. They also have a state-of-the-art cafe/lounge that caters to business travelers in
search of a comfortable space to relax. The cafe offers an affordable all-inclusive membership
that serves gourmet specialties including salads, panini, soups and coffee drinks. This 2,500 sqft
cafe delivers a comfortable boutique hotel experience. The Cafe features a food and beverage program, has two lounges and bar height seating. The walls of the 8th floor are decorated with
contemporary art murals.<br>
  <br>
  This site has easy access to all modes of transportation. With the 4 & 6 subway lines 2 blocks
away, Bus Route M1, M2, M3, all 1 block away and the Citi Bike Station 3 blocks away, this
location is for the commuters.</p>
<ul>
  <li>Dedicated Desks</li>
  <li>Private Offices</li>
  <li>Conference Rooms</li>
  <li>Cafe/Lounge</li>
  <li>Onsite Staff</li>
  <li>Cleaning Services</li>
  <li>High Speed Internet</li>
  <li>Phone Booths</li>
  <li>Professional &amp; Social Events</li>
  <li>Unique Common Areas</li>
  <li>Barista</li>
  <li>Fruit Water</li>
  <li>Micro-Roasted Coffee</li>
  <li>Printing </li>
</ul>",,,,,,,,,
Breather,369 Lexington Ave,P 22,Office,Sublet,Withheld,"Rent the most flexible,…",Full Build-Out,Excellent,Vacant,Kyle Katz (877) 711-5990 ,Negotiable,2201,Office,Grand Central,New York,NY,Manhattan,"<p><strong>Breather Company Bio</strong></p>
<p>Founded in 2012, Breather is  a company that facilitates transactions between consumers and people renting  out livable space. The company was founded by Caterina RIzzi and the current  CEO, Julien Smith. In August 2013, Breather first launched in Montreal before  eventually expanding to New York City. As of November 2016, Breather has over  450 locations available in 10 cities across the United States and Canada. The  company&rsquo;s main focus is on meeting room and private workspaces.</p>","<p><u>369 Lexington Ave Bio:</u></p>
<p>This Breather office space is  located at 369 Lexington Avenue at the corner of 41st street. This  office space offers a private office with conference style tables and an area  for collaboration. The space consists of 905 square feet and contains an  on-site kitchenette.</p>
<p>As the elevator doors open  your guests will walk directly into your 22nd floor office space.  Stepping into the space, tenants find a sun-drenched room with tables and open  seating. With views of the iconic Empire State building, this space will brighten  your team&rsquo;s day and spark creativity. Large panel glass windows allow natural  air and light to fill the space and give it an energetic vibe. Fully equipped  with a long conference style table, a smaller round table, and moveable  whiteboard this space suits those tenants looking to collaborate and bounce  ideas off fellow co-workers. </p>
<p>Having the walls and ceiling  painted a white color and access to track lighting in the conference room  allows the space to be well-lit all the time, regardless of outside conditions.  A pantry area with a mini-fridge makes it convenient for tenants to bring meals  with them as to avoid interruptions throughout the work day. Within the same  suite there is a seating area with 4 lounge style chairs around a coffee table  that can act as a space for workers to relax and clear the mind. </p>
<p>This office building, known  as The Lexington Tower, is located on the corner of E 41st street  and Lexington Avenue. Tenants are able to enjoy the vibrant energy of the areas  surrounding the space being situated between the Midtown and Murray Hill  neighborhoods. Within walking distance of Sophie&rsquo;s Cuban Cuisine and Everyday  Gourmet Deli, the location provides easy access to various eateries and local  shops for tenants to appreciate. Commuting back and from the space is made  simple with Grand Central Terminal and the 42nd street subway  station just a couple blocks away.</p>
<p>Space Features:</p>
<ul>
  <li>905  square feet</li>
  <li>3  passenger elevators</li>
  <li>24/7  Doorman Service</li>
  <li>In suite  kitchenette</li>
  <li>Whiteboard</li>
</ul>",,,,,,,,,
Breather,341-347 5th Ave,P 11,Office,Sublet,Withheld,Rent the most flexible…,Full Build-Out,Excellent,Vacant,Kyle Katz (877) 711-5990 ,Negotiable,1103,Office,Murray Hill,New York,NY,Manhattan,"<p><strong>Breather Company Bio</strong></p>
<p>Founded in 2012, Breather is  a company that facilitates transactions between consumers and people renting  out livable space. The company was founded by Caterina RIzzi and the current  CEO, Julien Smith. In August 2013, Breather first launched in Montreal before  eventually expanding to New York City. As of November 2016, Breather has over  450 locations available in 10 cities across the United States and Canada. The  company&rsquo;s main focus is on meeting room and private workspaces.</p>","<p><u>341 - 347 5th Avenue  Bio:</u></p>
<p>This Breather office space is  located at 347 5th Avenue between 33rd and 34th  streets in Manhattan&rsquo;s Koreatown neighborhood as part of the Garment district.  This office spaces offers a private office with a seating area and a conference  table. This private office space consists of 480 square feet and an on-site  kitchenette.</p>
<p>Walking into the lobby, your  guests will receive a warm greeting and be escorted to the elevators up to your  space by a staff of professional receptionists. As the elevator doors open,  tenants enter a well-lit room with contemporary art hanging on the walls and an  Arc-style lamp over-looking a seating area with a couch, chair, and coffee  table. The seating area provides a homely feeling for the space, as well as,  giving tenants a place to take a break during the day and relax. </p>
<p>This 480 square foot space  also contains 2 adjoining dining-style tables directly facing 3 tall glass  windows that display magnificent views of Fifth Avenue and the Empire State  Building. The panel style windows also allow natural sunlight and air to fill  the space to give tenants a sense of energy and enthusiasm. Coming equipped  with a flat screen TV and a whiteboard, the space is perfect for presentations  and holding team meetings. Track lighting from the ceiling in conjunction with  the Arc-style lamp allow the space to remain well-lit and vibrant throughout  all times of the day.</p>
<p>This office space is located  at 347 5th avenue between E33rd and 34th street. Being  positioned in Manhattan&rsquo;s Koreatown neighborhood as part of the Garment  District, tenants are nearby many high-end Asian restaurants as well as  traditional chain eateries. Staff have the option of grabbing a bite to eat at  Chipotle Mexican Grill or a more luxurious option such as Xi&rsquo;an Famous Foods.  Other conveniences, namely Walgreens and CVS pharmacies make this a prime  location that will meet all of your business needs. Tenants can access the  space via the 34th Street-Herald Square subway station on lines E,  B, D, F, M, N, Q, R, W.</p>
<p>Space Features:</p>
<ul>
  <li>480  square feet</li>
  <li>Elevator  access</li>
  <li>Lobby  Staff</li>
  <li>Whiteboard</li>
  <li>Apple TV</li>
  <li>Flat  screen TV</li>
  <li>Phone  charger</li>
</ul>",,,,,,,,,
Breather,36 E 23rd St,P 9,Office,Sublet,Withheld,Rent the most flexible…,Full Build-Out,Excellent,Vacant,Kyle Katz (877) 711-5990 ,Negotiable,9F,Office,Gramercy Park,New York,NY,Manhattan,"<p><strong>Breather Company Bio</strong></p>
<p>Founded in 2012, Breather is  a company that facilitates transactions between consumers and people renting  out livable space. The company was founded by Caterina RIzzi and the current  CEO, Julien Smith. In August 2013, Breather first launched in Montreal before  eventually expanding to New York City. As of November 2016, Breather has over  450 locations available in 10 cities across the United States and Canada. The  company&rsquo;s main focus is on meeting room and private workspaces.</p>","<p><u>36 E 23rd Street  Bio:</u></p>
<p>This Breather office space is  located at 36 E 23rd street in the Flatiron neighborhood in  Manhattan. This private office space offers a conference room and an adjoining  meeting room. The private office space consists of 808 square feet and an  on-site kitchenette. </p>
<p>Entering directly onto your 9th  floor suite 9F office space, tenants see a 28 by 21 feet open room with 2 long  conference style tables. Tall glass windows let in natural light and air which  complement the white backdrop of the walls and ceiling to give the space a  modern airy feel. This conference room comes equipped with a flat screen TV,  comfortable seating, and a kitchenette for those tenants who prefer to bring  food and stay on site throughout the workday. The adjoining meeting room which  measures 15 by 11 feet contains a whiteboard and a round table for staff to  gather around and brainstorm ideas. </p>
<p>Pendant lighting keeps the  room illuminated and energetic even on days when outside conditions don&rsquo;t  cooperate. With HDMI, Thunderbolt, and USB-C multiport capability, tenants will  have the peace of mind that their technology will be compatible with the space.  Having high-tech capability along with an open floor plan makes this space  great for companies in the Tech or Entertainment industries.</p>
<p>This office space is space  located at 36 E 23rd street between Park avenue and Broadway. Being  situated between the Kips Bay and Chelsea neighborhoods, tenants are just a  short walk away from personal necessities such as New York Sports Club and even  a NY kids club for those who would like to work near their children&rsquo;s school.  The building is accessible to tenants via the 4, 6, N, R, Q, and W subway  lines. </p>
<p>Space Features:</p>
<ul>
  <li>808  square feet </li>
  <li>24/7  Doorman service</li>
  <li>In suite  kitchenette</li>
  <li>Whiteboard</li>
  <li>Apple TV</li>
  <li>Flat  screen TV</li>
  <li>Phone  charger</li>
</ul>
",,,,,,,,,
Breather,150 W 25th St,P 6,Office,Sublet,Withheld,Rent the most flexible…,Full Build-Out,Excellent,Vacant,Kyle Katz (877) 711-5990 ,Negotiable,602,Office,Chelsea,New York,NY,Manhattan,"<p><strong>Breather Company Bio</strong></p>
<p>Founded in 2012, Breather is  a company that facilitates transactions between consumers and people renting  out livable space. The company was founded by Caterina RIzzi and the current  CEO, Julien Smith. In August 2013, Breather first launched in Montreal before  eventually expanding to New York City. As of November 2016, Breather has over  450 locations available in 10 cities across the United States and Canada. The  company&rsquo;s main focus is on meeting room and private workspaces.</p>","<p><u>150 West 25th Street</u></p>
<p>Breather Workspaces at 150 West 25th Street is located in the Chelsea neighborhood and steps
from Madison Square Park. This coworking space comes with seating for 24 that can
accommodate all of your needs. This fully furnished coworking suite comes with a large
rectangle desk that can seat 14 individuals and a small round table that can seat 4 individuals.
This space also has a lounge that holds 6 individuals. It also includes a lobby staff, elevator
access, ensuite kitchenette, mini fridge, flatscreen TV, whiteboard, WiFi, HDMI, air conditioning
and bathroom on premises.
150 West 25th Street is a 12-story high-rise building located in the Chelsea neighborhood in
Manhattan. <br>
<br>
Breather is leasing out the 6th floor of this hi-rise building. This floor contains 877
leasable sqft and is one of the most flexible office space in the New York area. You can lease this
unit for an hour, day, week, month or even a year. This beautiful breather space positioned in
Chelsea is the perfect location for start-up companies.
This affordable coworking space is catered to individuals that want to work in a friendly, and
open environment. As you walk across the light brown hardwood floors, you will be greeted with
a long white table that can seat 14 individuals. As you are zoned in with your work, you will
receive shining light from this stylish 5-light ceiling track fixture that hangs from the ceilings and
provides your workspace a more vibrant feel. If you and your team want a more private
workspace, then you can help yourself to the round table that seats 4 individuals. <br>
<br>
This Breather
space offers a whiteboard where you can brainstorm by jotting down thoughts and ideas. They
also offer a flat screen TV that is helpful for presentation and want to get productive with your
team. When you want a breather from your work, you can relax on the comfortable lounge area
and take in the view of the Flat Iron District that provides a great sight. Or you can admire the
modern art murals that are decorated throughout the white walls of the space. When booking
with Breather, you will enjoy a great experience, from finding the perfect location for your
meeting, professional endeavors, and for you and your team to get creative.</p>",,,,,,,,,
Breather,135-139 W 29th St,P 4,Office,Sublet,Withheld,Rent the most flexible…,Full Build-Out,Excellent,Vacant,Kyle Katz (877) 711-5990 ,Negotiable,401,Office,Chelsea,New York,NY,Manhattan,"<p><strong>Breather Company Bio</strong></p>
<p>Founded in 2012, Breather is  a company that facilitates transactions between consumers and people renting  out livable space. The company was founded by Caterina RIzzi and the current  CEO, Julien Smith. In August 2013, Breather first launched in Montreal before  eventually expanding to New York City. As of November 2016, Breather has over  450 locations available in 10 cities across the United States and Canada. The  company&rsquo;s main focus is on meeting room and private workspaces.</p>","<p><u>135 Bowery</u></p>
<p>This Breather office  space is located at 135 Bowery between Broome and Grand streets. Being  positioned in Lower Manhattan tenants can enjoy natural light at this large  space on the Bowery and is just minutes away from Sara D. Roosevelt Park as  well as the Bowery Ballroom. This 345 square feet office space consists of a  conference area, a seating/lounge area, and a kitchenette. </p>
<p>As tenants step out  of the elevator doors on the 5th floor, they enter a 22 by 16 feet  space containing with a dining-room style table and a comfortable seating area.  Hanging on the walls by the table are a whiteboard and flat screen TV which  make the space ideal for presentations and brainstorming sessions. Moving  through the space, tenants come to the lounge-style seating area complete with  a comfortable couch, a coffee table and 2 drop chairs. This area is a perfect  part of the space for tenants to kick back and take a break during a bustling  workday. </p>
<p>Hanging from the wall  in this space is a contemporary piece of artwork and a mounted wall lamp which  provide the space with a modern vibe. Overlooking the whole space are tall  glass windows with dark windowpanes which flood the space with tons of natural light  and air. Magnificent views of the sights of Lower Manhattan can be seen through  the glass windows as well.</p>
<p>This 345 square feet  office space is located at 135 Bowery between Grand and Broome street. Being  situated in Lower Manhattan, tenants are just a short walk away from Sara D.  Roosevelt Park and many options for dining. A plethora of bakeries and local  establishments are located on almost every street surrounding the office space.  Commuting to the space is made simple with easy access via the D, J, Z, 4, and  6 subway lines. </p>
<p>Space Features:</p>
<ul>
  <li>345  square feet</li>
  <li>Elevator  access</li>
  <li>Whiteboard</li>
  <li>Mirror</li>
  <li>flat  screen TV</li>
  <li>great  view</li>
  <li>HDMI</li>
  <li>Apple  TV</li>
</ul>",,,,,,,,,
Breather,8 East 41st Street,P 4,Office,Sublet,Withheld,Rent the most flexible…,Full Build-Out,Excellent,Vacant,Kyle Katz (877) 711-5990 ,Negotiable,,Office,Grand Central,New York,NY,Manhattan,"<p><strong>Breather Company Bio</strong></p>
<p>Founded in 2012, Breather is  a company that facilitates transactions between consumers and people renting  out livable space. The company was founded by Caterina RIzzi and the current  CEO, Julien Smith. In August 2013, Breather first launched in Montreal before  eventually expanding to New York City. As of November 2016, Breather has over  450 locations available in 10 cities across the United States and Canada. The  company&rsquo;s main focus is on meeting room and private workspaces.</p>","<p><u>8 East 41st Street</u></p>
<p>Breather Workspaces at 8 East 41st Street is located in Midtown and just a few blocks away from
  Grand Central and Bryant Park. This executive office space offers a private office with two
  conference stye tables and a lounge area. This space consists of 625 square feet and contains
  multiple amenities for your business endeavor. This unit is best suitable for team meetings,
  presentations, client meetings, small event, and team offsite.  </p>
<p>As you step out of the 4th floor of 8 East 41st Street, you will notice this beautiful and spacious,
  fully furnished executive office that contains 625 SF and can hold up to 18 people. This
  affordable coworking space in NYC has a modern & contemporary feel that appeals to tech,
  fashion, media, advertising, hedge fund or any business looking for a dynamic office space.
  This unit has a contemporary look with metal beams going through the roof and multiple 4-light
  track fixture hanging from the ceiling. In this unit there is a comfortable lounge that holds 2
  individuals. The individuals who sit in this lounge can take a breather from their work and
  appreciate the modern art that is displayed throughout the bright, white walls. As you pass the
  lounge by walking through the polished concrete floors, you will see 2 long rectangle tables that
  can each seat 8 individuals. These tables are meant for clients who want to work in an open and
  friendly environment. This loft comes with 4 huge glass panels that provide natural and abundant
  light that is helpful when doing work. </p>
<p>If you want a breather from your work, you can just take
  in the magnificent view of Midtown, NY. When you are tired from working, you can just step out
  and rejuvenate yourself with coffee from an upscale coffee shop on the street level. This loft
  features a few crucial amenities that are necessary for your professional endeavors. Which
  include a Flatscreen TV, where you can present power-points and presentations. Also has 2
  whiteboards where the client can brainstorm and jot down thoughts and ideas.
  Located between Grand Central Station and Bryant Park, this hi-rise building is extremely easy
  for clients to commute to. Just steps from the 4,5,6 and 7 subway lines and Metro-North at Grand
  Central Station, and the B, D, F, and M trains at Bryant Park.</p>
<p>Space Features<br>
  &bull; 2 Tables w/ 16 seats<br>
  &bull; Lounge<br>
  &bull; Waiting Room<br>
  &bull; Flatscreen TV<br>
  &bull; 2 Whiteboards<br>
  &bull; WiFi<br>
  &bull; 24/7 Customer Support<br>
  &bull; Elevator Access<br>
  &bull; Air Conditioning<br>
  &bull; Phone Charger<br>
  &bull; Thunderbolt<br>
  &bull; USB-C Multiport<br>
  &bull; HDMI<br>
  &bull; Bathroom On Premises<br>
&bull; Weekly Cleaning</p>",,,,,,,,,
